section,metric,value,n,wins
overall,speedup_vs_full_skew_join,1.4750784081723343,46,46.0
overall,speedup_vs_amjoin_style,1.4836852171675865,46,46.0
overall,speedup_vs_rdma_onesize,1.2081529980684722,46,46.0
overall,speedup_vs_topology_aware_parallel_join,0.7293762558208876,46,1.0
overall,speedup_vs_aqe_join_reselection,0.8552213673933411,46,2.0
overall,complete_main_points,46.0,46,
E1_natural,speedup_vs_full_skew_join,1.461791948896177,5,
E1_natural,speedup_vs_amjoin_style,1.496696627635379,5,
E1_natural,speedup_vs_rdma_onesize,1.188447218495103,5,
E1_natural,speedup_vs_topology_aware_parallel_join,0.713225818064952,5,
E1_natural,speedup_vs_aqe_join_reselection,0.8223359667877019,5,
E1_controlled,speedup_vs_full_skew_join,1.4387127821424772,5,
E1_controlled,speedup_vs_amjoin_style,1.4379604656076652,5,
E1_controlled,speedup_vs_rdma_onesize,1.2107204891714682,5,
E1_controlled,speedup_vs_topology_aware_parallel_join,0.7063653941533325,5,
E1_controlled,speedup_vs_aqe_join_reselection,0.8226845943255021,5,
E2,speedup_vs_full_skew_join,1.487569221341461,20,
E2,speedup_vs_amjoin_style,1.4761036291564447,20,
E2,speedup_vs_rdma_onesize,1.2096346202930557,20,
E2,speedup_vs_topology_aware_parallel_join,0.7332659400237015,20,
E2,speedup_vs_aqe_join_reselection,0.8658031359298578,20,
E3,speedup_vs_full_skew_join,1.4828269027905323,8,
E3,speedup_vs_amjoin_style,1.5472901502088185,8,
E3,speedup_vs_rdma_onesize,1.2202297963777677,8,
E3,speedup_vs_topology_aware_parallel_join,0.7084487890651379,8,
E3,speedup_vs_aqe_join_reselection,0.8282091498071815,8,
E5,ablation_history_reuse::ours_slowdown,1.0,1,
E5,ablation_history_reuse::ours_no_history_reuse_slowdown,1.0059300263431152,1,
E5,ablation_history_reuse::ours_no_versioned_incremental_stats_slowdown,0.9932765248027603,1,
E5,ablation_candidate_boundary::ours_slowdown,1.0,1,
E5,ablation_candidate_boundary::ours_kcheck_only_slowdown,1.0619205695542573,1,
E5,ablation_candidate_boundary::ours_no_boundary_lookup_slowdown,1.0470924836422513,1,
E5,ablation_runtime_rebalance::ours_slowdown,1.0,1,
E5,ablation_runtime_rebalance::ours_no_rebalance_slowdown,1.29927631711506,1,
E5,ablation_runtime_rebalance::ours_no_bounded_probing_slowdown,1.023368906927099,1,
E4_supplement,ours_kcheck_only_mean_recall_at_h,0.8645833333333334,3,
E4_supplement,ours_kcheck_only_mean_precision_at_h,0.8645833333333334,3,
E4_supplement,ours_kcheck_only_mean_time,44.939364848814854,3,
E4_supplement,ours_residual_candidate_only_mean_recall_at_h,0.625,3,
E4_supplement,ours_residual_candidate_only_mean_precision_at_h,0.625,3,
E4_supplement,ours_residual_candidate_only_mean_time,45.88903008479124,3,
E4_supplement,ours_no_boundary_lookup_mean_recall_at_h,0.9479166666666666,3,
E4_supplement,ours_no_boundary_lookup_mean_precision_at_h,0.9479166666666666,3,
E4_supplement,ours_no_boundary_lookup_mean_time,47.224207152924144,3,
E4_supplement,ours_mean_recall_at_h,1.0,3,
E4_supplement,ours_mean_precision_at_h,1.0,3,
E4_supplement,ours_mean_time,46.98975906071062,3,
E4_supplement,oracle_full_rebuild_exact_mean_recall_at_h,1.0,3,
E4_supplement,oracle_full_rebuild_exact_mean_precision_at_h,1.0,3,
E4_supplement,oracle_full_rebuild_exact_mean_time,41.25006940914437,3,
E6,no_rebalance_mean_slowdown,1.317377525597037,4,
E7,FULL_REUSE_mean_time,1.3007248796666666,3,
E7,PARTIAL_REUSE_mean_time,3.486894143666667,6,
E7,REBUILD_mean_time,3.3317883948181817,11,
E1B,controlled_work_audit_pass_rows,5.0,5,
